timme,kurs
15.0,1429.0
16.0,1424.75
17.0,1434.5
10.0,1443.25
11.0,1441.5
12.0,1439.25
13.0,1441.0
14.0,1440.5
15.0,1441.5
16.0,1442.25
17.0,1439.0
10.0,1431.25
11.0,1435.75
12.0,1436.75
13.0,1433.5
14.0,1433.5
15.0,1432.0
16.0,1433.75
17.0,1433.25
10.0,1447.25
11.0,1447.0
12.0,1446.25
13.0,1449.5
14.0,1449.5
15.0,1448.25
16.0,1448.25
17.0,1448.75
10.0,1444.25
11.0,1445.5
12.0,1446.0
13.0,1445.5
14.0,1447.5
15.0,1449.0
16.0,1444.75
17.0,1448.5
10.0,1440.0
11.0,1444.0
12.0,1444.25
13.0,1444.75
14.0,1442.0
15.0,1443.25
16.0,1442.0
